Current Real Minimum Wage Based on February 2022 CPI (2018=100),,,
,,,
Region,Non-Agriculture,Agriculture,
,,Plantation,Non-Plantation
NCR,494.02,459.98,459.98
CAR,312.5,312.5,312.5
I,304.39,264.1,252.46
II,326.57,304.5,304.5
III,370.7,344.22,330.1
IV-A,355.87,330.96,330.96
IV-B,275.39,275.39,275.39
V,266.09,266.09,266.09
VI,351.42,280.25,280.25
VII,371.32,362.13,362.13
VIII,287.36,260.83,260.83
IX,288.32,276.46,276.46
X,322.72,312.11,312.11
XI,355.48,350.99,350.99
XII,295,276.56,276.56
CARAGA,281.2,281.2,281.2
BARMM,292.79,270.27,270.27
