"TABLE D - Key Employment Indicators with Measures of Precision, Philippines:",,,,,,,,,,,,,,,,,,,,,
"January 2021f, October 2021p, December 2021p, and January 2022p",,,,,,,,,,,,,,,,,,,,,
(In Thousands Except Rates and Standard Error),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
INDICATOR,January 2021f                          ,,,,October 2021p                           ,,,,December 2021p                           ,,,,"January 2022p, 3                           ",,,,Increment/ (Decrement),,,,
,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,January 2022p - October 2021p,January 2022p - December 2021p,January 2022p - January 2021f,,
,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,,,
Total Population 15 Years Old and Over,"74,733",869,"73,303","76,162","75,570",902,"74,086","77,053","76,123","1,535","73,598","78,649","75,895",492,"75,085","76,704",325,-229,"1,162",,
Male 15 Years Old and Over,"37,533",444,"36,802","38,264","38,028",465,"37,264","38,793","38,204",786,"36,911","39,498","38,069",252,"37,655","38,483",40,-136,536,,
Female 15 Years Old and Over,"37,200",450,"36,460","37,940","37,541",464,"36,778","38,304","37,919",817,"36,575","39,263","37,826",253,"37,410","38,242",285,-93,626,,
Labor Force,"45,212",547,"44,311","46,112","47,330",598,"46,347","48,313","49,546","1,094","47,747","51,346","45,943",313,"45,428","46,459","-1,387","-3,603",732,,
                                 Male,"27,753",343,"27,189","28,317","28,486",360,"27,893","29,078","29,056",632,"28,016","30,096","27,736",192,"27,420","28,052",-750,"-1,320",-17,,
                                 Female,"17,459",247,"17,053","17,864","18,844",276,"18,390","19,299","20,491",532,"19,616","21,365","18,208",141,"17,976","18,440",-637,"-2,283",749,,
Employed,"41,248",504,"40,419","42,077","43,826",548,"42,926","44,727","46,274","1,035","44,571","47,978","43,018",294,"42,534","43,502",-808,"-3,256","1,770",,
     Male,"25,323",316,"24,802","25,844","26,425",331,"25,880","26,970","27,212",604,"26,219","28,206","26,044",182,"25,744","26,344",-381,"-1,168",721,,
     Female,"15,925",229,"15,548","16,302","17,401",259,"16,975","17,826","19,062",503,"18,235","19,890","16,974",132,"16,756","17,191",-427,"-2,088","1,049",,
Underemployed,"6,589",196,"6,267","6,910","7,044",222,"6,679","7,410","6,811",417,"6,126","7,496","6,397",105,"6,224","6,570",-648,-414,-192,,
              Male,"4,454",136,"4,230","4,677","4,765",148,"4,521","5,009","4,540",286,"4,069","5,011","4,271",72,"4,153","4,389",-494,-269,-182,,
              Female,"2,135",75,"2,011","2,259","2,280",91,"2,130","2,429","2,271",164,"2,002","2,541","2,126",41,"2,058","2,193",-154,-146,-10,,
Unemployed,"3,964",102,"3,795","4,132","3,504",102,"3,336","3,671","3,272",180,"2,977","3,567","2,925",48,"2,846","3,005",-578,-347,"-1,038",,
     Male,"2,430",73,"2,310","2,550","2,060",69,"1,947","2,174","1,844",111,"1,662","2,025","1,692",32,"1,639","1,744",-369,-152,-738,,
     Female,"1,534",53,"1,447","1,621","1,443",55,"1,353","1,533","1,428",109,"1,249","1,607","1,234",27,"1,190","1,278",-210,-195,-300,,
,,,,,,,,,,,,,,,,,,,,,
Total Population 15 Years Old and Over ,,,,,,,,,,,,,,,,,,,,,
  Labor Force Participation Rate (%),60.5,0.24,60.1,60.9,62.6,0.3,62.2,63.1,65.1,0.5,64.3,65.9,60.5,0.1,60.3,60.7,-2.1,-4.6,0.0,,
Male Labor Force Participation Rate (%),73.9,0.28,73.5,74.4,74.9,0.3,74.4,75.4,76.1,0.5,75.2,76.9,72.9,0.1,72.6,73.1,-2.1,-3.2,-1.1,,
Female Labor Force Participation Rate (%),46.9,0.36,46.3,47.5,50.2,0.4,49.6,50.8,54.0,0.7,53.0,55.1,48.1,0.2,47.8,48.4,-2.1,-5.9,1.2,,
  Employment Rate(%),91.2,0.20,90.9,91.6,92.6,0.2,92.3,92.9,93.4,0.3,92.9,93.9,93.6,0.1,93.5,93.8,1.0,0.2,2.4,,
  Male Employment Rate(%),91.2,0.24,90.9,91.6,92.8,0.2,92.4,93.1,93.7,0.4,93.1,94.2,93.9,0.1,93.7,94.1,1.1,0.2,2.7,,
  Female Employment Rate(%),91.2,0.28,90.8,91.7,92.3,0.3,91.9,92.8,93.0,0.5,92.2,93.8,93.2,0.1,93.0,93.4,0.9,0.2,2.0,,
Underemployment Rate (%),16.0,0.45,15.2,16.7,16.1,0.5,15.3,16.9,14.7,0.9,13.3,16.1,14.9,0.2,14.5,15.2,-1.2,0.2,-1.1,,
Male Underemployment Rate (%),17.6,0.51,16.8,18.4,18.0,0.5,17.2,18.9,16.7,1.0,15.0,18.4,16.4,0.3,16.0,16.8,-1.6,-0.3,-1.2,,
Female Underemployment Rate (%),13.4,0.45,12.7,14.1,13.1,0.5,12.3,13.9,11.9,0.8,10.6,13.3,12.5,0.2,12.2,12.9,-0.6,0.6,-0.9,,
  Unemployment Rate (%),8.8,0.20,8.4,9.1,7.4,0.2,7.1,7.7,6.6,0.3,6.1,7.2,6.4,0.1,6.2,6.5,-1.0,-0.2,-2.4,,
  Male Unemployment Rate(%),8.8,0.24,8.4,9.1,7.2,0.2,6.9,7.6,6.3,0.4,5.8,6.9,6.1,0.1,5.9,6.3,-1.1,-0.2,-2.7,,
  Female Unemployment Rate(%),8.8,0.28,8.3,9.2,7.7,0.3,7.2,8.1,7.0,0.5,6.2,7.8,6.8,0.1,6.6,7.0,-0.9,-0.2,-2.0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Notes: Details may not add up to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
           p - Preliminary.,,,,,,,,,,,,,,,,,,,,,
           f - Final.,,,,,,,,,,,,,,,,,,,,,
1 Includes number of underemployed persons who were with jobs but did not work during the reference period. ,,,,,,,,,,,,,,,,,,,,,
2Includes number of underemployed persons but with unreported hours worked,,,,,,,,,,,,,,,,,,,,,
" NEET - Not in employment, education or training",,,,,,,,,,,,,,,,,,,,,
          3 - Preliminary estimate excludes Surigao del Norte and Dinagat Island. ,,,,,,,,,,,,,,,,,,,,,
          Preliminary estimates excludes Surigao del Norte and Dinagat Islands,,,,,,,,,,,,,,,,,,,,,
            All estimates used the 2015 POPCEN-based Population Projection.,,,,,,,,,,,,,,,,,,,,,
"Source: Philippine Statistics Authority, Labor Force Survey",,,,,,,,,,,,,,,,,,,,,
